lr-Adam,step,train_loss,epoch,val_Class_Accuracy,val_No_Obj_Accuracy,val_Obj_Accuracy,test_Class_Accuracy,test_No_Obj_Accuracy,test_Obj_Accuracy
2.0423291792006875e-05,49,,,,,,,,
,49,41.093841552734375,0,,,,,,
3.105930382466696e-05,99,,,,,,,,
,99,35.680015563964844,0,,,,,,
4.169531585732703e-05,149,,,,,,,,
,149,26.62954330444336,0,,,,,,
5.2331327889987105e-05,199,,,,,,,,
,199,23.642475128173828,0,,,,,,
6.296733992264718e-05,249,,,,,,,,
,249,20.323246002197266,0,,,,,,
7.360335195530726e-05,299,,,,,,,,
,299,18.45972442626953,0,,,,,,
8.423936398796733e-05,349,,,,,,,,
,349,17.96882438659668,0,,,,,,
9.487537602062742e-05,399,,,,,,,,
,399,18.81797981262207,0,,,,,,
0.00010551138805328749,449,,,,,,,,
,449,15.857275009155273,0,,,,,,
0.00011614740008594758,499,,,,,,,,
,499,17.99185562133789,0,,,,,,
0.00012678341211860765,549,,,,,,,,
,549,14.165002822875977,0,,,,,,
0.00013741942415126774,599,,,,,,,,
,599,16.764713287353516,0,,,,,,
0.00014805543618392778,649,,,,,,,,
,649,14.184515953063965,0,,,,,,
0.00015869144821658787,699,,,,,,,,
,699,14.643587112426758,0,,,,,,
0.00016932746024924796,749,,,,,,,,
,749,14.942355155944824,0,,,,,,
0.00017996347228190805,799,,,,,,,,
,799,13.679929733276367,0,,,,,,
0.00019059948431456811,849,,,,,,,,
,849,13.90461540222168,0,,,,,,
0.00020123549634722818,899,,,,,,,,
,899,13.872418403625488,0,,,,,,
,930,,0,34.875885009765625,97.02088165283203,9.606882095336914,,,
0.00021187150837988827,949,,,,,,,,
,949,13.198915481567383,1,,,,,,
0.00022250752041254833,999,,,,,,,,
,999,13.103777885437012,1,,,,,,
0.00023314353244520842,1049,,,,,,,,
,1049,13.926558494567871,1,,,,,,
0.0002437795444778685,1099,,,,,,,,
,1099,12.243992805480957,1,,,,,,
0.0002544155565105286,1149,,,,,,,,
,1149,13.023844718933105,1,,,,,,
0.0002650515685431887,1199,,,,,,,,
,1199,13.81727409362793,1,,,,,,
0.0002756875805758488,1249,,,,,,,,
,1249,13.358856201171875,1,,,,,,
0.0002863235926085088,1299,,,,,,,,
,1299,11.65155029296875,1,,,,,,
0.0002969596046411689,1349,,,,,,,,
,1349,11.420477867126465,1,,,,,,
0.000307595616673829,1399,,,,,,,,
,1399,13.224620819091797,1,,,,,,
0.0003182316287064891,1449,,,,,,,,
,1449,12.820954322814941,1,,,,,,
0.0003288676407391491,1499,,,,,,,,
,1499,11.324708938598633,1,,,,,,
0.0003395036527718092,1549,,,,,,,,
,1549,11.694124221801758,1,,,,,,
0.0003501396648044693,1599,,,,,,,,
,1599,14.169169425964355,1,,,,,,
0.00036077567683712934,1649,,,,,,,,
,1649,11.998809814453125,1,,,,,,
0.0003714116888697895,1699,,,,,,,,
,1699,12.132786750793457,1,,,,,,
0.0003820477009024495,1749,,,,,,,,
,1749,11.12064266204834,1,,,,,,
0.00039268371293510956,1799,,,,,,,,
,1799,12.052547454833984,1,,,,,,
0.0004033197249677697,1849,,,,,,,,
,1849,12.575870513916016,1,,,,,,
